year,city,country,avg_temp
1843,Manama,Bahrain,25.26
1844,Manama,Bahrain,25.71
1845,Manama,Bahrain,21.18
1846,Manama,Bahrain,
1847,Manama,Bahrain,
1848,Manama,Bahrain,25.12
1849,Manama,Bahrain,25.37
1850,Manama,Bahrain,24.95
1851,Manama,Bahrain,25.62
1852,Manama,Bahrain,25.44
1853,Manama,Bahrain,25.47
1854,Manama,Bahrain,25.26
1855,Manama,Bahrain,25.50
1856,Manama,Bahrain,25.15
1857,Manama,Bahrain,24.84
1858,Manama,Bahrain,25.57
1859,Manama,Bahrain,25.58
1860,Manama,Bahrain,25.50
1861,Manama,Bahrain,24.75
1862,Manama,Bahrain,24.46
1863,Manama,Bahrain,24.90
1864,Manama,Bahrain,25.46
1865,Manama,Bahrain,25.71
1866,Manama,Bahrain,25.38
1867,Manama,Bahrain,25.72
1868,Manama,Bahrain,25.61
1869,Manama,Bahrain,25.85
1870,Manama,Bahrain,25.60
1871,Manama,Bahrain,25.42
1872,Manama,Bahrain,25.49
1873,Manama,Bahrain,25.80
1874,Manama,Bahrain,25.58
1875,Manama,Bahrain,25.27
1876,Manama,Bahrain,25.49
1877,Manama,Bahrain,25.99
1878,Manama,Bahrain,25.96
1879,Manama,Bahrain,25.76
1880,Manama,Bahrain,25.32
1881,Manama,Bahrain,26.19
1882,Manama,Bahrain,25.24
1883,Manama,Bahrain,25.83
1884,Manama,Bahrain,25.42
1885,Manama,Bahrain,25.47
1886,Manama,Bahrain,25.65
1887,Manama,Bahrain,25.43
1888,Manama,Bahrain,25.75
1889,Manama,Bahrain,26.04
1890,Manama,Bahrain,25.54
1891,Manama,Bahrain,25.86
1892,Manama,Bahrain,25.89
1893,Manama,Bahrain,25.80
1894,Manama,Bahrain,25.33
1895,Manama,Bahrain,25.39
1896,Manama,Bahrain,25.44
1897,Manama,Bahrain,25.40
1898,Manama,Bahrain,25.26
1899,Manama,Bahrain,25.80
1900,Manama,Bahrain,25.83
1901,Manama,Bahrain,26.15
1902,Manama,Bahrain,25.92
1903,Manama,Bahrain,25.20
1904,Manama,Bahrain,25.64
1905,Manama,Bahrain,25.54
1906,Manama,Bahrain,25.48
1907,Manama,Bahrain,25.18
1908,Manama,Bahrain,25.64
1909,Manama,Bahrain,26.06
1910,Manama,Bahrain,25.16
1911,Manama,Bahrain,24.63
1912,Manama,Bahrain,25.50
1913,Manama,Bahrain,25.47
1914,Manama,Bahrain,25.71
1915,Manama,Bahrain,26.01
1916,Manama,Bahrain,25.29
1917,Manama,Bahrain,25.58
1918,Manama,Bahrain,25.23
1919,Manama,Bahrain,25.85
1920,Manama,Bahrain,25.55
1921,Manama,Bahrain,25.54
1922,Manama,Bahrain,25.96
1923,Manama,Bahrain,25.56
1924,Manama,Bahrain,26.24
1925,Manama,Bahrain,25.56
1926,Manama,Bahrain,25.75
1927,Manama,Bahrain,25.67
1928,Manama,Bahrain,25.73
1929,Manama,Bahrain,25.81
1930,Manama,Bahrain,25.78
1931,Manama,Bahrain,25.75
1932,Manama,Bahrain,25.36
1933,Manama,Bahrain,25.18
1934,Manama,Bahrain,25.41
1935,Manama,Bahrain,26.05
1936,Manama,Bahrain,25.50
1937,Manama,Bahrain,25.56
1938,Manama,Bahrain,25.77
1939,Manama,Bahrain,25.63
1940,Manama,Bahrain,26.04
1941,Manama,Bahrain,25.98
1942,Manama,Bahrain,26.20
1943,Manama,Bahrain,25.56
1944,Manama,Bahrain,26.01
1945,Manama,Bahrain,25.66
1946,Manama,Bahrain,26.50
1947,Manama,Bahrain,26.78
1948,Manama,Bahrain,25.43
1949,Manama,Bahrain,25.31
1950,Manama,Bahrain,25.36
1951,Manama,Bahrain,26.19
1952,Manama,Bahrain,26.09
1953,Manama,Bahrain,25.99
1954,Manama,Bahrain,26.31
1955,Manama,Bahrain,26.00
1956,Manama,Bahrain,25.62
1957,Manama,Bahrain,25.64
1958,Manama,Bahrain,26.19
1959,Manama,Bahrain,25.22
1960,Manama,Bahrain,26.20
1961,Manama,Bahrain,25.63
1962,Manama,Bahrain,26.43
1963,Manama,Bahrain,26.17
1964,Manama,Bahrain,25.36
1965,Manama,Bahrain,26.23
1966,Manama,Bahrain,26.55
1967,Manama,Bahrain,25.38
1968,Manama,Bahrain,25.85
1969,Manama,Bahrain,26.51
1970,Manama,Bahrain,26.25
1971,Manama,Bahrain,25.72
1972,Manama,Bahrain,25.33
1973,Manama,Bahrain,25.92
1974,Manama,Bahrain,25.84
1975,Manama,Bahrain,25.77
1976,Manama,Bahrain,25.64
1977,Manama,Bahrain,26.47
1978,Manama,Bahrain,26.20
1979,Manama,Bahrain,26.75
1980,Manama,Bahrain,26.48
1981,Manama,Bahrain,26.51
1982,Manama,Bahrain,25.45
1983,Manama,Bahrain,25.52
1984,Manama,Bahrain,25.89
1985,Manama,Bahrain,26.14
1986,Manama,Bahrain,26.25
1987,Manama,Bahrain,26.58
1988,Manama,Bahrain,26.56
1989,Manama,Bahrain,25.96
1990,Manama,Bahrain,26.26
1991,Manama,Bahrain,25.73
1992,Manama,Bahrain,25.09
1993,Manama,Bahrain,26.09
1994,Manama,Bahrain,26.66
1995,Manama,Bahrain,26.18
1996,Manama,Bahrain,26.76
1997,Manama,Bahrain,26.11
1998,Manama,Bahrain,27.54
1999,Manama,Bahrain,27.67
2000,Manama,Bahrain,26.99
2001,Manama,Bahrain,27.36
2002,Manama,Bahrain,27.19
2003,Manama,Bahrain,27.29
2004,Manama,Bahrain,27.07
2005,Manama,Bahrain,26.89
2006,Manama,Bahrain,27.15
2007,Manama,Bahrain,27.13
2008,Manama,Bahrain,26.96
2009,Manama,Bahrain,27.24
2010,Manama,Bahrain,28.00
2011,Manama,Bahrain,27.01
2012,Manama,Bahrain,27.45
2013,Manama,Bahrain,27.86
